depth	0.1	0.3	1	3	10	30	100	300	1000
0	1.10E+06	5.50E+05	3.50E+05	3.20E+05	3.60E+05	4.10E+05	4.60E+05	5.00E+05	5.50E+05
0.01	1.10E+06	5.60E+05	3.50E+05	3.30E+05	3.70E+05	4.20E+05	4.70E+05	5.10E+05	5.60E+05
0.02	1.10E+06	5.60E+05	3.60E+05	3.40E+05	3.80E+05	4.30E+05	4.70E+05	5.20E+05	5.70E+05
0.03	1.10E+06	5.60E+05	3.60E+05	3.40E+05	3.80E+05	4.30E+05	4.80E+05	5.30E+05	5.80E+05
0.04	1.10E+06	5.60E+05	3.60E+05	3.40E+05	3.90E+05	4.40E+05	4.80E+05	5.30E+05	5.90E+05
0.05	1.10E+06	5.60E+05	3.60E+05	3.40E+05	3.90E+05	4.40E+05	4.90E+05	5.40E+05	5.90E+05
0.06	1.20E+06	5.70E+05	3.60E+05	3.40E+05	3.90E+05	4.40E+05	4.90E+05	5.40E+05	6.00E+05
0.07	1.20E+06	5.70E+05	3.70E+05	3.50E+05	3.90E+05	4.50E+05	5.00E+05	5.40E+05	6.00E+05
0.08	1.20E+06	5.70E+05	3.70E+05	3.50E+05	3.90E+05	4.50E+05	5.00E+05	5.50E+05	6.10E+05
0.09	1.10E+06	5.70E+05	3.70E+05	3.50E+05	4.00E+05	4.50E+05	5.00E+05	5.50E+05	6.10E+05
0.1	1.10E+06	5.70E+05	3.70E+05	3.50E+05	4.00E+05	4.50E+05	5.10E+05	5.60E+05	6.20E+05
0.2	1.20E+06	5.80E+05	3.80E+05	3.60E+05	4.10E+05	4.70E+05	5.30E+05	5.90E+05	6.60E+05
0.3	1.20E+06	5.80E+05	3.80E+05	3.70E+05	4.30E+05	4.90E+05	5.60E+05	6.10E+05	7.00E+05
0.4	1.20E+06	5.90E+05	3.90E+05	3.70E+05	4.40E+05	5.10E+05	5.80E+05	6.40E+05	7.30E+05
0.5	1.20E+06	5.90E+05	3.90E+05	3.80E+05	4.40E+05	5.20E+05	6.00E+05	6.60E+05	7.60E+05
0.6	1.20E+06	5.90E+05	3.90E+05	3.80E+05	4.50E+05	5.40E+05	6.10E+05	6.90E+05	7.90E+05
0.7	1.20E+06	6.00E+05	3.90E+05	3.80E+05	4.60E+05	5.50E+05	6.30E+05	7.10E+05	8.20E+05
0.8	1.20E+06	6.00E+05	4.00E+05	3.90E+05	4.70E+05	5.60E+05	6.50E+05	7.30E+05	8.50E+05
0.9	1.10E+06	6.00E+05	4.00E+05	3.90E+05	4.80E+05	5.70E+05	6.70E+05	7.50E+05	8.80E+05
1	1.10E+06	6.00E+05	4.00E+05	4.00E+05	4.80E+05	5.80E+05	6.80E+05	7.80E+05	9.10E+05
